report_year,report_week,district,disease,category,cases,source_pdf,uid
2017,44,Parbhani,Acute gastroenteritis,water-borne,9,442017.pdf,MH/PRB/2017/44/1541
2017,44,Parbhani,Dengue,vector-borne,14,442017.pdf,MH/PRB/2017/44/1540
2017,45,Palghar,Dengue,vector-borne,7,452017.pdf,MH/PLR/2017/45/1572
2017,45,Satara,Dengue,vector-borne,23,452017.pdf,MH/STA/2017/45/1579
2017,45,Satara,Dengue,vector-borne,28,452017.pdf,MH/STA/2017/45/1580
2017,45,Thane,Dengue,vector-borne,24,452017.pdf,MH/THN/2017/45/1581
2017,46,Ahilyanagar,Dengue,vector-borne,10,462017.pdf,MH/AMN/2017/46/1605
2017,46,Beed,Chikungunya,vector-borne,21,462017.pdf,MH/BED/2017/46/1592
2017,46,Chhatrapati Sambhajinagar,Cholera,water-borne,5825,462017.pdf,MH/AGB/2017/46/1591
2017,46,Jalgaon,Chikungunya,vector-borne,40,462017.pdf,MH/JGA/2017/46/1593
2017,47,Jalgaon,Dengue,vector-borne,49,472017.pdf,MH/JGA/2017/47/1628
2017,47,Kolhapur,Dengue,vector-borne,1,472017.pdf,MH/KOP/2017/47/1616
2017,47,Kolhapur,Dengue,vector-borne,4,472017.pdf,MH/KOP/2017/47/1629
2017,47,Nashik,Chikungunya,vector-borne,60,472017.pdf,MH/NAS/2017/47/1631
2017,47,Pune,Dengue,vector-borne,3,472017.pdf,MH/PNE/2017/47/1632
2017,47,Pune,Dengue,vector-borne,1,472017.pdf,MH/PNE/2017/47/1633
2017,47,Sangli,Chikungunya,vector-borne,17,472017.pdf,MH/SGL/2017/47/1634
2017,47,Satara,Chikungunya,vector-borne,10,472017.pdf,MH/STA/2017/47/1636
2017,47,Satara,Dengue,vector-borne,18,472017.pdf,MH/STA/2017/47/1635
2017,47,Satara,Dengue,vector-borne,16,472017.pdf,MH/STA/2017/47/1637
2017,48,Akola,Measles,air-borne,6,482017.pdf,MH/AKL/2017/48/1641
2017,48,Beed,Dengue,vector-borne,8,482017.pdf,MH/BED/2017/48/1642
2017,49,Palghar,Dengue,vector-borne,20,492017.pdf,MH/PLR/2017/49/1667
2017,49,Ratnagiri,Measles,air-borne,17,492017.pdf,MH/RTG/2017/49/1658
2017,50,Sangli,Chikungunya,vector-borne,10,502017.pdf,MH/SGL/2017/50/1674
2017,50,Sangli,Chikungunya,vector-borne,28,502017.pdf,MH/SGL/2017/50/1677
2017,50,Sangli,Chikungunya,vector-borne,15,502017.pdf,MH/SGL/2017/50/1678
2017,51,Jalna,Chikungunya,vector-borne,11,512017.pdf,MH/JLN/2017/51/1694
2017,51,Sindhudurg,Dengue,vector-borne,32,512017.pdf,MH/SIN/2017/51/1689
2017,52,Thane,Japanese encephalitis,vector-borne,6,522017.pdf,MH/THN/2017/52/1711
2018,1,Gadchiroli,Malaria,vector-borne,13,012018.pdf,MH/GAD/2018/01/0008
2018,1,Nagpur,Measles,air-borne,5,012018.pdf,MH/NAG/2018/01/0009
2018,1,Ratnagiri,Hepatitis A,water-borne,177,012018.pdf,MH/RTG/2018/01/0010
2018,1,Satara,Chikungunya,vector-borne,9,012018.pdf,MH/STA/2018/01/0021
2018,1,Satara,Dengue,vector-borne,40,012018.pdf,MH/STA/2018/01/0022
2018,2,Dharashiv,Chikungunya,vector-borne,17,022018.pdf,MH/OSM/2018/02/0039
2018,4,Jalna,Dengue,vector-borne,11,042018.pdf,MH/JLN/2018/04/0094
2018,5,Bhandara,Chickenpox,air-borne,18,052018.pdf,MH/BNR/2018/05/0107
2018,5,Yavatmal,Chickenpox,air-borne,4,052018.pdf,MH/YVT/2018/05/0125
2018,8,Satara,Measles,air-borne,5,082018.pdf,MH/STA/2018/08/0220
2018,9,Akola,Chickenpox,air-borne,27,092018.pdf,MH/AKL/2018/09/0256
2018,10,Ahilyanagar,Measles,air-borne,11,102018.pdf,MH/AMN/2018/10/299
2018,12,Palghar,Measles,air-borne,11,122018.pdf,MH/PLR/2018/12/348
