report_year,report_week,district,disease,category,cases,source_pdf,uid
2017,27,Sindhudurg,Hepatitis E,water-borne,5.0,272017.pdf,MH/SIN/2017/27/0978
2017,28,Raigad,Hepatitis A,water-borne,32.0,282017.pdf,MH/RGD/2017/28/1036
2017,28,Ratnagiri,Cholera,water-borne,83.0,282017.pdf,MH/RTG/2017/28/1017
2017,28,Washim,"21 00 26-06-17 outbreak. House to house survey done. 1 water sample tested at Gastroenteritis Surveillance District hospital PHL Wahsim found non potable. All cases treated symptomatically. Health education given. Cases reported from 5 Villages of Churachandpur. District RRT investigated the outbreak. House to house survey done. Under Out of 78 blood samples tested for Dengue, 25 found positive MN/CHR/2017/28/1038 Manipur Churchandrapur Dengue",vector-borne,25.0,282017.pdf,MH/WAS/2017/28/1037
2017,29,Osmanabad,Cholera,water-borne,3.0,292017.pdf,MH/OSM/2017/29/1070
2017,29,Thane,Dengue,vector-borne,56.0,292017.pdf,MH/THN/2017/29/1071
2017,29,Thane,Dengue,vector-borne,89.0,292017.pdf,MH/THN/2017/29/1072
2017,29,Thane,Dengue,vector-borne,86.0,292017.pdf,MH/THN/2017/29/1075
2017,29,Thane,Malaria,vector-borne,15.0,292017.pdf,MH/THN/2017/29/1073
2017,29,Thane,Malaria,vector-borne,26.0,292017.pdf,MH/THN/2017/29/1074
2017,30,Gadchiroli,Malaria,vector-borne,127.0,302017.pdf,MH/GAD/2017/30/1100
2017,32,Gadchiroli,"04 01 04-08-17 10-08-17 tested at PHC Devulgaon, 4 were positive for PF Malaria control Malaria. All cases treated locally. Source reduction activities undertaken. Health education given. Deceased was 2 years and 3 months old female child. Cases reported from Ward no 1, Guru Har Rai Nagar, bye pass road Jalandhar Block Urban Ludhiana. District RRT investigated the outbreak. Under House to house survey done. Out of 04 stool PB/LDH/2017/32/1170 Punjab Ludhiana Cholera",vector-borne,459.0,86234916091504855728.pdf,MH/GAD/2017/32/1169
2017,33,Nagpur,Chikungunya,vector-borne,38.0,332017.pdf,MH/NAG/2017/33/1205
2017,33,Satara,Dengue,vector-borne,26.0,332017.pdf,MH/STA/2017/33/1206
2017,34,Jalna,"01 00 12-08-17 Encephalitis Surveillance serum sample found positive for JE and all 05 blood samples tested negative at Civil Hospital, Jalna. Case treated symptomatically. Health education given. Cases reported from SC Chorad, PHC Sindhkhed, Taluka Mahur. District RRT investigated the outbreak. House to house MH/NAN/2017/34/124 Acute Under Maharashtra Nanded",vector-borne,27.0,342017.pdf,MH/JLN/2017/34/1247
2017,34,Nagpur,Scrub Typhus,vector-borne,2.0,342017.pdf,MH/NAG/2017/34/1240
